Time	Open	High	Low	Close	Volume
2025-01-02 00:00:00	1.2519	1.25402	1.23521	1.23793	145090	11
2025-01-03 00:00:00	1.23792	1.24338	1.23779	1.24168	96603	8
2025-01-05 00:00:00	1.2411	1.24335	1.2411	1.24241	5165	141
2025-01-06 00:00:00	1.24242	1.25507	1.24172	1.25095	167712	9
2025-01-07 00:00:00	1.25098	1.25756	1.24723	1.24754	198189	10
2025-01-08 00:00:00	1.24756	1.24939	1.23205	1.23582	162568	9
2025-01-09 00:00:00	1.23582	1.23649	1.22379	1.2298	148059	11
2025-01-10 00:00:00	1.2298	1.23214	1.21912	1.22044	182060	10
2025-01-12 00:00:00	1.21974	1.221	1.21974	1.22034	3969	84
2025-01-13 00:00:00	1.22034	1.22498	1.20992	1.22315	161384	11
2025-01-14 00:00:00	1.22315	1.22457	1.21381	1.22104	156684	10
2025-01-15 00:00:00	1.22103	1.23059	1.21592	1.22419	150101	9
2025-01-16 00:00:00	1.22418	1.22599	1.21743	1.22337	156320	12
2025-01-17 00:00:00	1.22337	1.2244	1.21583	1.21583	127337	11
2025-01-19 00:00:00	1.21706	1.21761	1.21603	1.21747	4308	142
2025-01-20 00:00:00	1.21748	1.23442	1.21651	1.23312	144373	8
2025-01-21 00:00:00	1.23319	1.23598	1.22288	1.23377	183663	14
2025-01-22 00:00:00	1.23376	1.23756	1.23065	1.23134	141327	12
2025-01-23 00:00:00	1.23134	1.23751	1.2293	1.23538	203265	8
2025-01-24 00:00:00	1.23537	1.25016	1.2348	1.24757	195435	9
2025-01-26 00:00:00	1.24668	1.24725	1.24557	1.24574	5830	77
2025-01-27 00:00:00	1.24574	1.25229	1.24255	1.24506	223801	10
2025-01-28 00:00:00	1.24506	1.2465	1.24141	1.24406	177081	12
2025-01-29 00:00:00	1.24406	1.24631	1.23929	1.24542	195154	9
2025-01-30 00:00:00	1.24541	1.24765	1.24074	1.24216	177049	12
2025-01-31 00:00:00	1.24218	1.24715	1.23856	1.23919	206321	10
2025-02-02 00:00:00	1.22855	1.23232	1.22825	1.22895	14532	105
2025-02-03 00:00:00	1.22896	1.24547	1.22488	1.24333	277964	15
2025-02-04 00:00:00	1.24331	1.24929	1.23785	1.24748	172337	10
2025-02-05 00:00:00	1.2475	1.25496	1.2463	1.25008	151746	13
2025-02-06 00:00:00	1.25007	1.2509	1.23598	1.24339	143742	11
2025-02-07 00:00:00	1.24338	1.24932	1.23758	1.23965	163457	9
2025-02-09 00:00:00	1.23694	1.23942	1.23623	1.23889	6403	120
2025-02-10 00:00:00	1.2389	1.24219	1.23539	1.23595	127831	10
2025-02-11 00:00:00	1.23596	1.24544	1.23321	1.2451	111580	9
2025-02-12 00:00:00	1.2451	1.24831	1.23734	1.24502	145015	9
2025-02-13 00:00:00	1.24507	1.25692	1.2442	1.25644	177410	11
2025-02-14 00:00:00	1.25648	1.26299	1.25493	1.25832	101765	10
2025-02-16 00:00:00	1.25837	1.2588	1.25778	1.25838	2569	131
2025-02-17 00:00:00	1.25839	1.26346	1.25789	1.26204	34004	7
2025-02-18 00:00:00	1.26207	1.26398	1.25817	1.26243	52131	9
2025-02-19 00:00:00	1.26242	1.26359	1.25631	1.2583	90439	8
2025-02-20 00:00:00	1.25829	1.26738	1.258	1.26687	121232	8
2025-02-21 00:00:00	1.26691	1.26784	1.26246	1.26274	120645	9
2025-02-23 00:00:00	1.2626	1.26576	1.2626	1.26484	2497	200
2025-02-24 00:00:00	1.26483	1.26902	1.26117	1.26165	137942	10
2025-02-25 00:00:00	1.26166	1.26776	1.26054	1.26714	132085	10
2025-02-26 00:00:00	1.26712	1.27153	1.2635	1.26803	147922	8
2025-02-27 00:00:00	1.26801	1.26885	1.25955	1.25959	160982	9
2025-02-28 00:00:00	1.25961	1.26214	1.25589	1.25744	122783	11
2025-03-02 00:00:00	1.258	1.26082	1.25779	1.26021	7653	125
2025-03-03 00:00:00	1.26021	1.27235	1.25819	1.27011	154061	10
2025-03-04 00:00:00	1.27012	1.27993	1.26783	1.2795	173939	11
2025-03-05 00:00:00	1.2795	1.29004	1.27671	1.28895	195496	9
2025-03-06 00:00:00	1.28893	1.29234	1.28655	1.28828	161453	7
2025-03-07 00:00:00	1.28825	1.29443	1.28757	1.29167	125811	9
2025-03-09 00:00:00	1.29108	1.29381	1.28999	1.29315	11322	190
2025-03-10 00:00:00	1.29317	1.29462	1.28612	1.2875	124055	7
2025-03-11 00:00:00	1.28749	1.29657	1.2873	1.29433	164215	7
2025-03-12 00:00:00	1.29435	1.29887	1.29132	1.2964	137399	9
2025-03-13 00:00:00	1.29639	1.29732	1.29205	1.29562	96624	9
2025-03-14 00:00:00	1.29564	1.29586	1.29106	1.29274	125416	8
2025-03-16 00:00:00	1.29137	1.29353	1.29137	1.29267	7411	180
2025-03-17 00:00:00	1.29267	1.29984	1.29267	1.29832	73766	8
2025-03-18 00:00:00	1.29832	1.30096	1.29512	1.3	134831	9
2025-03-19 00:00:00	1.3	1.30113	1.29548	1.301	94301	8
2025-03-20 00:00:00	1.30099	1.30144	1.29357	1.29648	90411	8
2025-03-21 00:00:00	1.29648	1.29701	1.28873	1.29117	76643	8
2025-03-23 00:00:00	1.28962	1.29257	1.28874	1.2925	5733	45
2025-03-24 00:00:00	1.29248	1.2974	1.28953	1.29224	91383	7
2025-03-25 00:00:00	1.29225	1.29666	1.29017	1.29448	71100	11
2025-03-26 00:00:00	1.29445	1.29459	1.28704	1.28768	92403	7
2025-03-27 00:00:00	1.28766	1.29919	1.28761	1.29508	93591	9
2025-03-28 00:00:00	1.29508	1.2968	1.29213	1.29378	76571	7
2025-03-30 00:00:00	1.29319	1.2941	1.29218	1.29372	5989	141
2025-03-31 00:00:00	1.2937	1.29725	1.2886	1.2919	118992	8
2025-04-01 00:00:00	1.29192	1.29404	1.2879	1.29212	115667	7
2025-04-02 00:00:00	1.29213	1.3052	1.29002	1.30453	131886	9
2025-04-03 00:00:00	1.30453	1.32073	1.30255	1.30889	201542	11
2025-04-04 00:00:00	1.30888	1.31132	1.28527	1.28915	270008	9
2025-04-06 00:00:00	1.28344	1.29327	1.28236	1.29083	28440	185
2025-04-07 00:00:00	1.29083	1.29337	1.27079	1.27326	286068	21
2025-04-08 00:00:00	1.27327	1.28143	1.27241	1.27862	204392	9
2025-04-09 00:00:00	1.27863	1.28638	1.27427	1.28248	301135	10
2025-04-10 00:00:00	1.28247	1.29975	1.28217	1.29913	233883	8
2025-04-11 00:00:00	1.29911	1.31448	1.29847	1.3085	307048	11
2025-04-13 00:00:00	1.30827	1.30933	1.30627	1.30835	11046	149
2025-04-14 00:00:00	1.30836	1.32008	1.30833	1.31719	172993	14
2025-04-15 00:00:00	1.3172	1.32518	1.31638	1.32302	111936	12
2025-04-16 00:00:00	1.32304	1.32917	1.32117	1.32323	143445	12
2025-04-17 00:00:00	1.32325	1.3273	1.32021	1.32675	107258	9
2025-04-18 00:00:00	1.32674	1.32983	1.32567	1.32892	525993	30
2025-04-20 00:00:00	1.32698	1.33198	1.32698	1.3314	10569	118
2025-04-21 00:00:00	1.33141	1.34216	1.33141	1.33793	105256	12
2025-04-22 00:00:00	1.33795	1.34235	1.32331	1.32719	151535	8
2025-04-23 00:00:00	1.32716	1.33387	1.3244	1.32646	144012	12
2025-04-24 00:00:00	1.32646	1.33486	1.32585	1.33271	88917	8
2025-04-25 00:00:00	1.33269	1.33321	1.32735	1.33065	80470	10
2025-04-27 00:00:00	1.33006	1.33108	1.32881	1.32895	7499	133
