Time	Open	High	Low	Close	Volume
2025-05-01 00:00:00	1.33206	1.3326	1.33174	1.33187	2504	7
2025-05-01 01:00:00	1.33187	1.33188	1.33035	1.33072	2218	8
2025-05-01 02:00:00	1.33072	1.33162	1.33055	1.33133	2188	10
2025-05-01 03:00:00	1.33135	1.33164	1.32928	1.33006	3886	9
2025-05-01 04:00:00	1.33008	1.33026	1.32925	1.32934	3051	9
2025-05-01 05:00:00	1.32933	1.32951	1.32784	1.32888	3961	8
2025-05-01 06:00:00	1.32881	1.33008	1.32853	1.32891	4669	7
2025-05-01 07:00:00	1.32891	1.3307	1.32745	1.33056	4416	7
2025-05-01 08:00:00	1.33055	1.33329	1.33054	1.33244	3561	7
2025-05-01 09:00:00	1.33244	1.33314	1.33126	1.33153	3237	8
2025-05-01 10:00:00	1.33152	1.33384	1.33118	1.33381	3010	9
2025-05-01 11:00:00	1.33383	1.33452	1.33234	1.33237	3350	6
2025-05-01 12:00:00	1.33238	1.334	1.33136	1.33153	5891	7
2025-05-01 13:00:00	1.33153	1.33269	1.33113	1.33233	5234	8
2025-05-01 14:00:00	1.33234	1.33256	1.32844	1.32951	9031	15
2025-05-01 15:00:00	1.32949	1.33007	1.32645	1.32725	6409	8
2025-05-01 16:00:00	1.32723	1.32839	1.32616	1.32803	3808	8
2025-05-01 17:00:00	1.32804	1.32805	1.32634	1.32664	2498	10
2025-05-01 18:00:00	1.32662	1.32864	1.32601	1.32772	2520	5
2025-05-01 19:00:00	1.32774	1.32842	1.3276	1.32784	2096	7
2025-05-01 20:00:00	1.32785	1.32838	1.32739	1.32766	1168	9
2025-05-01 21:00:00	1.32733	1.32819	1.32658	1.3271	252	98
2025-05-01 22:00:00	1.32714	1.32855	1.32705	1.32836	1754	60
2025-05-01 23:00:00	1.32838	1.3286	1.32798	1.32855	972	16
2025-05-02 00:00:00	1.32857	1.32898	1.32736	1.32787	2454	7
2025-05-02 01:00:00	1.32788	1.32896	1.32753	1.32896	5332	12
2025-05-02 02:00:00	1.32898	1.32995	1.32895	1.32924	3070	7
2025-05-02 03:00:00	1.32924	1.331	1.32902	1.33099	1944	7
2025-05-02 04:00:00	1.331	1.33133	1.33038	1.33077	4208	8
2025-05-02 05:00:00	1.33078	1.33216	1.3305	1.3312	4336	9
2025-05-02 06:00:00	1.33119	1.33209	1.33068	1.33115	5515	9
2025-05-02 07:00:00	1.33114	1.33187	1.32982	1.3299	5794	6
2025-05-02 08:00:00	1.32987	1.3299	1.32819	1.32914	4264	8
2025-05-02 09:00:00	1.3291	1.33155	1.32856	1.33102	4657	11
2025-05-02 10:00:00	1.33102	1.33106	1.3287	1.32893	3545	8
2025-05-02 11:00:00	1.32893	1.33071	1.32859	1.32938	3989	10
2025-05-02 12:00:00	1.3294	1.32983	1.32605	1.32905	10620	8
2025-05-02 13:00:00	1.32906	1.33305	1.3283	1.33197	11221	7
2025-05-02 14:00:00	1.33197	1.33294	1.33096	1.33209	9334	12
2025-05-02 15:00:00	1.33206	1.33282	1.32768	1.32803	6836	8
2025-05-02 16:00:00	1.32808	1.32967	1.32758	1.32832	5244	8
2025-05-02 17:00:00	1.3283	1.32934	1.32726	1.32771	4179	10
2025-05-02 18:00:00	1.32772	1.32816	1.32671	1.32735	3313	7
2025-05-02 19:00:00	1.32736	1.3283	1.32736	1.32772	2831	10
2025-05-02 20:00:00	1.32769	1.32785	1.32596	1.32596	979	9
2025-05-04 21:00:00	1.32612	1.32651	1.3261	1.32633	78	57
2025-05-04 22:00:00	1.32633	1.32744	1.32593	1.3263	2756	72
2025-05-04 23:00:00	1.32638	1.32764	1.3261	1.32693	1862	12
2025-05-05 00:00:00	1.32693	1.32718	1.32612	1.32709	3510	12
2025-05-05 01:00:00	1.32711	1.32965	1.32711	1.32891	5527	9
2025-05-05 02:00:00	1.32892	1.33003	1.32827	1.32972	2908	12
2025-05-05 03:00:00	1.32973	1.32974	1.32844	1.32885	2861	11
2025-05-05 04:00:00	1.32885	1.3296	1.32862	1.32949	2124	7
2025-05-05 05:00:00	1.32952	1.33065	1.32907	1.32934	4273	10
2025-05-05 06:00:00	1.32934	1.32976	1.32754	1.32804	5191	9
2025-05-05 07:00:00	1.32803	1.32914	1.32751	1.32804	4211	7
2025-05-05 08:00:00	1.32802	1.32913	1.32765	1.32814	4122	9
2025-05-05 09:00:00	1.32816	1.33036	1.32816	1.33025	4939	10
2025-05-05 10:00:00	1.33023	1.33097	1.32943	1.33067	4533	10
2025-05-05 11:00:00	1.33066	1.33252	1.33062	1.33162	4557	9
2025-05-05 12:00:00	1.33161	1.33351	1.33153	1.33304	5009	10
2025-05-05 13:00:00	1.33304	1.33362	1.33177	1.33203	4852	8
2025-05-05 14:00:00	1.33204	1.33204	1.32997	1.33055	6802	18
2025-05-05 15:00:00	1.33056	1.33092	1.32801	1.32812	4484	8
2025-05-05 16:00:00	1.32813	1.32816	1.32698	1.32732	4734	11
